volumen,vw_aprice,precio_apertura,precio_cierre,precio_maximo,precio_minimo,numero_transacciones,Fecha
7552.858811070171,29926.02,29925.91,30004.15,30275.0,29668.0,206345,2023-10-22
47149.55282034108,31626.3779,30004.14,33087.58,35000.0,29890.89,709056,2023-10-23
51659.28557555184,34081.7366,33084.4,33923.55,35225.0,32851.0,849286,2023-10-24
24827.736185113954,34462.8682,33921.6,34506.35,35152.0,33690.91,421127,2023-10-25
20751.578959832455,34221.536,34504.33,34155.82,34843.04,33717.2,381068,2023-10-26
17678.598332582693,33919.1856,34153.35,33906.09,34269.0,33318.6,300071,2023-10-27
6346.222647200909,34145.6525,33915.1,34085.42,34531.0,33852.8,178223,2023-10-28
8560.598133881818,34437.1356,34085.42,34534.48,34783.0,33937.31,193769,2023-10-29
14077.711118352743,34468.6709,34534.48,34493.79,34953.4,34077.9,248032,2023-10-30
12530.454739981622,34414.3133,34508.1,34656.4,34732.18,34038.79,252819,2023-10-31
21990.99457728188,34769.6885,34653.9,35440.1,35647.19,34079.46,372309,2023-11-01
19633.25642191019,35149.1665,35441.7,34949.0,35997.8,34311.73,358563,2023-11-02
17580.765055601223,34525.3377,34947.92,34731.27,34954.6,34100.0,358702,2023-11-03
7015.023593800654,34837.4481,34730.32,35090.3,35296.0,34599.85,205758,2023-11-04
8328.056750291418,35030.5883,35091.1,35035.42,35439.0,34479.0,219372,2023-11-05
9031.178320961635,35027.465,35035.79,35059.46,35323.0,34753.66,246802,2023-11-06
17389.498627963476,35194.3291,35028.6,35416.28,35963.0,34518.0,343022,2023-11-07
15511.3450179051,35529.4554,35449.1,35639.13,36113.59,35100.0,311917,2023-11-08
41092.963234284776,36725.6049,35639.13,36706.59,37999.0,35517.3,655569,2023-11-09
20591.500231061415,37066.9025,36702.5,37301.0,37548.8,36334.46,411590,2023-11-10
8286.818863001703,37071.9092,37311.7,37139.12,37424.03,36651.0,247283,2023-11-11
4941.516481990443,37076.1817,37139.94,37086.03,37247.0,36727.3,186563,2023-11-12
15049.499597457867,36829.1813,37053.9,36494.1,37444.0,36351.0,327228,2023-11-13
22715.548636068837,35966.6466,36494.1,35557.01,36756.16,34666.0,404101,2023-11-14
26381.792416145643,36908.452,35554.1,37885.35,37987.0,35358.45,529801,2023-11-15
25829.054796816865,36639.0142,37856.0,36161.15,37958.75,35511.11,469464,2023-11-16
17689.676742991564,36360.0234,36161.15,36625.0,36888.0,35851.2,319352,2023-11-17
4961.651855590686,36546.4848,36631.56,36594.89,36857.15,36205.89,180911,2023-11-18
6637.247370100936,36879.1343,36596.84,37391.19,37546.62,36404.52,185046,2023-11-19
19933.899235491117,37365.5431,37379.0,37475.64,37784.07,36620.0,347229,2023-11-20
29781.556916316415,36908.8506,37480.5,35751.89,37675.77,35744.9,424565,2023-11-21
25815.682909892173,36829.6958,35756.0,37424.32,37888.0,35633.0,416400,2023-11-22
11255.70344309498,37323.1127,37428.1,37300.9,37653.67,36874.7,250251,2023-11-23
25398.319833813806,37848.7917,37300.9,37745.84,38454.0,37248.0,412230,2023-11-24
5900.593432540458,37770.0484,37748.85,37805.99,37920.27,37583.0,170581,2023-11-25
9283.433405941378,37491.3448,37781.0,37462.79,37842.17,37117.0,212368,2023-11-26
17398.233303532234,37066.485,37469.9,37241.63,37578.42,36715.1,290725,2023-11-27
23519.594636871952,37803.5039,37254.1,37838.26,38425.96,36873.55,336526,2023-11-28
18729.83823372214,37957.302,37838.26,37863.84,38480.0,37555.0,301925,2023-11-29
10547.502917910711,37763.3907,37865.3,37732.27,38152.18,37490.0,235665,2023-11-30
22789.851736040953,38527.3418,37732.27,38703.54,39000.0,37618.0,405390,2023-12-01
12361.738492662642,39151.5397,38690.0,39471.48,39740.0,38634.0,276518,2023-12-02
10699.749838323205,39704.2976,39467.42,39984.81,40221.22,39253.0,280060,2023-12-03
32400.89486495723,41409.4421,39975.1,41987.24,42415.5,39476.0,565834,2023-12-04
34916.9349298997,42953.9916,41983.0,44084.39,45000.0,40849.0,591912,2023-12-05
24660.42372229832,43902.7293,44086.33,43761.7,44297.0,43335.5,456378,2023-12-06
18639.499968512984,43465.0138,43809.0,43280.95,44091.0,42846.53,366895,2023-12-07
19135.757218053423,43833.9255,43288.1,44192.87,44754.99,43086.0,358153,2023-12-08
8473.693434901174,44006.3542,44192.86,43723.25,44384.68,43586.14,236620,2023-12-09
6232.076501981144,43823.9222,43705.96,43793.68,44066.0,43562.06,186247,2023-12-10
35445.40136005956,41660.4556,43793.67,41229.57,43842.0,39999.0,528388,2023-12-11
18143.572584052064,41471.0772,41236.9,41477.39,42300.0,40636.51,319369,2023-12-12
20914.557157635176,42003.7843,41477.6,42885.36,43475.0,40553.15,361595,2023-12-13
20503.47930140568,42746.3564,42889.1,43028.27,43470.0,41359.0,363455,2023-12-14
14295.062770914623,42318.3415,43027.76,41933.89,43106.0,41640.51,318911,2023-12-15
7450.716143992712,42247.0147,41934.84,42236.7,42746.0,41626.66,232045,2023-12-16
10630.181342181319,41873.0287,42234.88,41349.59,42448.0,41222.0,228967,2023-12-17
18252.33167576893,41505.4545,41349.59,42650.01,42773.0,40508.0,322988,2023-12-18
17413.69422059899,42586.6223,42644.7,42266.22,43529.0,41780.0,314676,2023-12-19
25467.639445750137,43610.5836,42267.1,43674.77,44363.0,42184.48,373589,2023-12-20
16951.863061412543,43741.4543,43630.0,43875.32,44250.0,43295.78,290929,2023-12-21
14334.761922780774,43821.5884,43875.96,44013.73,44444.0,43412.82,267846,2023-12-22
5872.449681220971,43709.0385,43997.0,43726.35,44068.0,43314.0,186770,2023-12-23
7990.304476221856,43504.7368,43728.36,43025.03,43985.67,42614.17,207217,2023-12-24
7350.270069471241,43366.3418,43014.9,43589.67,43881.0,42755.35,172801,2023-12-25
18140.772138372755,42486.5073,43604.1,42519.47,43649.0,41600.67,289519,2023-12-26
16064.1387541575,43052.3721,42519.1,43474.4,43709.98,42111.47,284295,2023-12-27
17412.88214482306,42925.6589,43469.06,42581.23,43830.34,42265.08,330504,2023-12-28
21003.815934003098,42308.0577,42581.23,42063.45,43175.0,41300.0,357125,2023-12-29
13585.531731741532,42110.9407,42097.9,42141.03,42665.0,41518.19,253042,2023-12-30
13553.30570244256,42439.9872,42139.32,42288.06,42939.0,41964.68,215366,2023-12-31
11571.132272252362,43114.6615,42241.1,44220.78,44240.8,42175.65,219298,2024-01-01
39113.6281522264,45190.5321,44180.8,44972.8,45925.82,44113.2,522828,2024-01-02
43428.97340344552,43034.5792,44972.83,42862.44,45559.0,39501.0,622288,2024-01-03
23483.26711392685,43804.8366,42860.58,44193.29,44810.0,42650.0,367559,2024-01-04
23295.117121494848,43711.2836,44199.04,44186.59,44449.0,42413.0,373665,2024-01-05
7422.341112331486,43857.4888,44179.9,44018.0,44263.0,43436.5,180768,2024-01-06
8044.732283182773,44095.3438,43960.0,43959.0,44510.01,43627.0,184630,2024-01-07
37061.964362861145,45541.5938,43954.52,46995.1,47330.0,43200.44,570177,2024-01-08
38524.350057053976,46491.2035,46989.5,46124.08,47988.0,44500.0,656435,2024-01-09
49773.3582634139,45878.5148,46120.79,46670.82,47732.5,44268.0,738646,2024-01-10
50944.6453383351,46947.4415,46654.0,46350.4,49102.29,45555.55,762583,2024-01-11
59970.95273634669,44196.8707,46350.4,42773.03,46522.2,41444.97,791172,2024-01-12
13737.624864085004,42831.5723,42775.1,42839.33,43250.0,42427.0,315568,2024-01-13
11736.23537913369,42547.6023,42827.9,41696.66,43075.0,41680.73,254369,2024-01-14
14184.84569772358,42593.5944,41698.13,42520.0,43369.0,41680.0,286077,2024-01-15
21236.810862302398,42984.3473,42499.3,43130.46,43588.0,42028.02,390408,2024-01-16
19248.80836952228,42620.9692,43130.51,42739.49,43215.0,42160.0,343705,2024-01-17
29890.466539984263,41649.2286,42737.68,41292.71,42932.0,40600.05,392081,2024-01-18
27855.611154306433,41263.728,41290.57,41621.24,42212.0,40236.49,384868,2024-01-19
7096.28753251149,41601.0113,41623.94,41666.67,41944.0,40000.0,189193,2024-01-20
5268.617377100797,41698.6924,41666.67,41554.05,42260.0,41472.49,149600,2024-01-21
33767.23149186082,40405.9444,41670.0,39524.27,41775.0,39372.44,440095,2024-01-22
28114.916710634985,39263.6977,39510.0,39878.3,40215.0,38501.0,422574,2024-01-23
21769.69877299803,39871.7516,39878.3,40069.8,40599.0,39382.15,332209,2024-01-24
16735.523332165852,39893.3563,40079.87,39941.66,40333.0,39503.0,254578,2024-01-25
25444.491195520382,41317.6759,39941.66,41813.33,42243.14,39805.95,353696,2024-01-26
5516.92945838165,41812.7495,41815.22,42126.55,42204.0,41383.94,162020,2024-01-27
6906.719029741704,42272.2683,42126.55,42034.59,42839.07,41617.53,171880,2024-01-28
15637.15695169425,42722.6475,42025.0,43269.5,43333.0,41787.35,257880,2024-01-29
19919.379506534326,43450.3182,43272.7,42942.78,43872.99,42680.2,287585,2024-01-30
19446.882335773065,42982.206,42955.0,42548.08,43742.3,42265.77,273550,2024-01-31
15130.836461533445,42551.1031,42551.7,43075.2,43276.19,41846.04,269772,2024-02-01
15165.356765253753,43044.4664,43075.3,43181.66,43700.0,42527.58,250322,2024-02-02
3069.056594700402,43100.0274,43183.63,43010.67,43366.0,42863.58,129634,2024-02-03
3898.363555500461,42798.4293,43007.82,42568.55,43109.0,42228.01,132617,2024-02-04
11374.964509474741,42746.4013,42591.3,42657.67,43540.0,42235.0,221152,2024-02-05
9990.22960118174,43026.4095,42650.0,43095.79,43387.0,42516.07,220996,2024-02-06
17944.147697913057,43585.6018,43085.0,44343.61,44430.0,42760.44,274996,2024-02-07
24499.503102522547,45038.0821,44330.0,45329.6,45637.38,44323.0,379837,2024-02-08
30597.29528200841,47080.0096,45280.0,47160.41,48230.02,45246.0,473764,2024-02-09
8000.422264321737,47450.9327,47157.01,47767.06,48190.0,46889.53,209765,2024-02-10
8336.231897111864,48205.0681,47767.06,48316.3,48614.0,47580.9,216643,2024-02-11
28044.65962964936,49359.7281,48321.14,49941.81,50363.42,47642.0,432269,2024-02-12
26690.211311180086,49354.8674,49942.49,49725.36,50423.42,48240.0,412197,2024-02-13
28019.370171001443,51290.5939,49750.1,51858.59,52136.8,49253.92,468121,2024-02-14
25013.753372190306,52090.5666,51835.2,51934.29,52890.0,51280.0,486510,2024-02-15
17144.986682491293,52033.0719,51947.1,52162.64,52608.2,51580.0,352064,2024-02-16
8883.469746892166,51417.1217,52185.3,51700.0,52214.05,50130.0,220798,2024-02-17
6551.295609511554,51845.6793,51700.1,52153.62,52451.0,51165.0,198699,2024-02-18
8822.595329122643,52107.0578,52157.1,51787.05,52501.01,51648.0,242415,2024-02-19
23028.060137330795,51914.8171,51771.2,52167.0,53000.0,50584.0,385344,2024-02-20
18117.361749366548,51313.0563,52270.1,51851.67,52394.91,50439.0,348111,2024-02-21
16898.38186680822,51592.9672,51866.9,51258.7,52100.0,50890.2,310033,2024-02-22
14216.248262049328,51018.4403,51300.1,50737.0,51537.0,50227.0,309611,2024-02-23
5331.982110101077,51221.519,50739.4,51570.65,51736.0,50576.55,180385,2024-02-24
6111.003062901673,51665.9453,51554.5,51731.0,51967.82,51275.01,180548,2024-02-25
32020.82500095503,53278.0747,51733.8,54533.48,54980.0,50871.0,493515,2024-02-26
38515.80831857772,56550.4406,54525.4,57077.07,57646.81,54384.0,675281,2024-02-27
65601.92862209708,60481.3333,57077.08,62518.9,64100.0,56000.4,1094096,2024-02-28
47621.03824319888,62062.2587,62489.8,61180.9,63675.48,60108.8,802983,2024-02-29
30681.328374492587,61998.8151,61180.09,62436.72,63267.18,60500.0,576226,2024-03-01
10456.558672512734,62044.02,62439.74,62045.78,62500.0,61584.0,328631,2024-03-02
10579.410340873275,62356.8907,62045.77,63178.2,63260.0,61350.0,314418,2024-03-03
52133.16140926826,66096.6608,63155.74,68098.0,68602.98,62216.0,907498,2024-03-04
85476.96548048228,65017.2267,68356.7,63800.78,69324.58,59008.0,1509516,2024-03-05
44033.02548165077,66148.0187,63802.16,66122.28,67681.0,62783.0,825631,2024-03-06
27523.51610418382,67124.5179,66115.48,66938.21,68098.09,65595.0,618867,2024-03-07
42812.29373757517,68180.5133,66938.21,68289.16,70199.0,65200.0,778787,2024-03-08
11795.36766444294,68362.3984,68289.16,68480.0,68700.41,67719.0,344711,2024-03-09
17430.37948084603,69326.6822,68480.01,68951.0,70000.0,68047.0,475654,2024-03-10
44952.35231810567,71382.5716,69032.8,72110.98,72943.98,67000.0,864713,2024-03-11
40257.052183758606,71228.0231,72100.1,71475.93,73027.63,68357.0,918971,2024-03-12
27339.18618191932,72806.5633,71473.43,73135.04,73709.99,70976.0,636753,2024-03-13
42665.71858346498,71219.9023,73135.04,71364.58,73835.57,68454.47,984488,2024-03-14
51116.259752913196,68391.4054,71364.73,69520.0,72500.0,65460.0,1033965,2024-03-15
22452.370880193022,67550.6352,69514.87,65254.22,70071.0,64774.05,548172,2024-03-16
18896.250819064913,66878.9888,65254.22,68343.64,68927.0,64505.0,442839,2024-03-17
25258.280699166615,67500.1474,68354.29,67613.04,68940.0,66562.65,530243,2024-03-18
53882.12499433055,64106.4215,67600.0,61906.27,68136.39,61506.0,979567,2024-03-19
49516.82253871595,64207.6968,62022.0,67858.8,68202.0,60771.14,895549,2024-03-20
24555.48664048687,66510.0482,67855.88,65484.7,68280.0,64525.0,621560,2024-03-21
23774.141542402063,64064.6907,65478.98,63814.56,66712.0,62201.0,660792,2024-03-22
10615.216697072612,64642.5069,63814.56,63998.86,66029.09,63013.19,348768,2024-03-23
10359.231325392617,65686.6948,63998.89,67205.24,67949.0,63785.57,339237,2024-03-24
31307.104575000012,69156.2184,67212.69,69890.36,71269.92,66381.84,732703,2024-03-25
20155.06848568779,70301.483,69950.1,70000.1,71582.96,69116.8,569836,2024-03-26
26781.645956184275,69637.5941,69996.76,69437.3,71789.85,68251.0,622086,2024-03-27
19933.541979907975,70693.0403,69437.2,70801.18,71635.99,68800.0,558198,2024-03-28
10710.140036532179,69943.4957,70786.0,69903.75,70941.7,69015.0,372585,2024-03-29
4242.4127139807215,69977.1798,69903.74,69626.87,70363.25,69569.03,237286,2024-03-30
6649.246520801483,70550.6183,69652.0,71291.56,71444.0,69587.86,258897,2024-03-31
18513.448805676693,69438.7465,71291.51,69681.1,71373.0,68055.15,484820,2024-04-01
30832.79852348744,66052.8769,69681.1,65465.14,69711.0,64192.0,748173,2024-04-02
17444.0357292075,66025.2967,65472.0,65987.92,66944.06,64500.0,438158,2024-04-03
23624.260451355345,67625.0333,65984.15,68527.4,69634.0,65048.0,523749,2024-04-04
20406.85390877996,67457.3015,68528.46,67856.51,68783.99,65959.0,467893,2024-04-05
6124.067240281255,68283.2003,67856.51,68919.89,69693.1,67379.0,247970,2024-04-06
7901.993047412761,69486.092,68908.6,69350.34,70312.0,68820.0,325177,2024-04-07
23223.579051814715,71576.5348,69350.36,71622.53,72777.0,69036.0,567352,2024-04-08
21914.589601101146,69778.9649,71650.1,69117.01,71761.37,68200.0,539778,2024-04-09
21928.775432553437,69027.2689,69115.79,70634.04,71341.0,67463.07,523393,2024-04-10
14372.85679418701,70394.0358,70733.0,70046.4,71444.0,69530.0,416029,2024-04-11
32094.801286557326,68209.7878,70103.0,67148.61,71291.0,65103.0,786351,2024-04-12
37545.51982960271,64796.5735,67199.8,64008.1,69100.0,60495.0,1041828,2024-04-13
26538.987589805183,64133.239,64018.6,65777.05,65909.0,62150.0,646041,2024-04-14
27322.953087577836,64848.2963,65700.0,63452.18,66928.82,62315.08,665228,2024-04-15
22582.620858502964,62860.4936,63441.8,63814.94,64415.0,61551.0,598486,2024-04-16
27908.501730312593,61644.1743,63832.6,61279.3,64534.0,59648.33,762399,2024-04-17
19600.090229615376,62791.1291,61284.4,63513.85,64210.0,60816.07,493620,2024-04-18
29526.06060352742,63470.0901,63499.5,63848.37,65501.0,59573.32,754969,2024-04-19
